Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Drug Reaction,Ngừng tác nhân gây kích ứng,Đến ngay bệnh viện gần nhất,Ngừng sử dụng thuốc đang nghi ngờ,Theo dõi và tái khám
Malaria,Đến ngay bệnh viện gần nhất,Tránh thức ăn nhiều dầu mỡ,Tránh ăn đồ sống/chưa chín,Ngủ màn chống muỗi
Allergy,Thoa kem dịu da (Calamine),Che chắn vùng da bị tổn thương,,Chườm đá lạnh để giảm ngứa
Hypothyroidism,Giảm căng thẳng,Tập thể dục đều đặn,Ăn uống lành mạnh,Ngủ đủ giấc
Psoriasis,Rửa tay bằng nước ấm và xà phòng,Cầm máu bằng cách ấn chặt (nếu có tổn thương),Tham khảo ý kiến bác sĩ,Tắm nước muối pha loãng
GERD,Tránh thức ăn nhiều dầu mỡ và cay nóng,Không nằm ngay sau khi ăn,Duy trì cân nặng hợp lý,Tập thể dục
Chronic cholestasis,Tắm nước mát,Dùng thuốc chống ngứa theo đơn,Tham khảo ý kiến bác sĩ,Ăn uống lành mạnh
hepatitis A,Đến ngay bệnh viện gần nhất,Rửa tay thật sạch thường xuyên,Tránh thức ăn nhiều dầu mỡ và cay nóng,Dùng thuốc theo chỉ định
Osteoarthristis,Dùng thuốc giảm đau (Acetaminophen) theo chỉ định,Đến ngay bệnh viện gần nhất,Theo dõi và tái khám,Tắm nước ấm pha muối Epsom
"(vertigo) Paroymsal  Positional Vertigo",Nằm nghỉ ngơi,Tránh thay đổi tư thế đột ngột,Tránh cử động đầu đột ngột,Thư giãn
Hypoglycemia,Nằm nghiêng sang một bên,Kiểm tra mạch,Uống nước đường hoặc đồ ngọt,Tham khảo ý kiến bác sĩ
Acne,Rửa mặt ngày hai lần,Tránh thức ăn nhiều dầu mỡ và cay nóng,Uống nhiều nước,Tránh lạm dụng mỹ phẩm
Diabetes ,Ăn chế độ cân bằng dinh dưỡng,Tập thể dục,Tham khảo ý kiến bác sĩ,Theo dõi và tái khám
Impetigo,Ngâm vùng tổn thương trong nước ấm,Dùng thuốc kháng sinh theo đơn,Làm sạch vảy bằng khăn ẩm,Tham khảo ý kiến bác sĩ
Hypertension ,Ngồi thiền/Thư giãn,Tắm nước ấm pha muối,Giảm căng thẳng,Ngủ đủ giấc
Peptic ulcer diseae,Tránh thức ăn nhiều dầu mỡ và cay nóng,Ăn thực phẩm chứa men vi sinh (Probiotic),Tạm ngưng dùng sữa bò,Hạn chế rượu bia
Dimorphic hemmorhoids(piles),Tránh thức ăn nhiều dầu mỡ và cay nóng,Dùng chiết xuất cây phỉ (Witch hazel),Tắm ngồi nước ấm pha muối Epsom,Uống nước ép nha đam
Common Cold,Uống nước giàu Vitamin C,Xông hơi mặt,Tránh đồ ăn thức uống lạnh,Theo dõi và hạ sốt kịp thời
Chicken pox,Tắm bằng nước lá neem/trà xanh,Uống nhiều nước,Tiêm vắc xin phòng ngừa,Tránh đến nơi đông người
Cervical spondylosis,Chườm nóng hoặc chườm lạnh,Tập thể dục nhẹ nhàng,Dùng thuốc giảm đau không kê đơn,Tham khảo ý kiến bác sĩ
Hyperthyroidism,Ăn uống lành mạnh,Massage thư giãn,Sử dụng tía tô đất (Lemon balm),Cân nhắc điều trị I-ốt phóng xạ theo chỉ định
Urinary tract infection,Uống nhiều nước,Tăng cường lượng Vitamin C,Uống nước ép nam việt quất,Sử dụng men vi sinh
