Symptom,Vietnamese_name,weight
itching,ngứa,1
skin_rash,phát ban da,3
nodal_skin_eruptions,sự phun trào da nút,4
continuous_sneezing,hắt hơi liên tục,4
shivering,run rẩy,5
chills,ớn lạnh,3
joint_pain,đau khớp,3
stomach_pain,đau bụng,5
acidity,độ axit,3
ulcers_on_tongue,loét lưỡi,4
muscle_wasting,teo cơ,3
vomiting,nôn mửa,5
burning_micturition,tiểu tiện nóng rát,6
spotting_urination,rò rỉ nước tiểu,6
fatigue,Mệt mỏi,4
weight_gain,tăng cân,3
anxiety,sự lo lắng,4
cold_hands_and_feets,tay chân lạnh,5
mood_swings,tâm trạng thay đổi,3
weight_loss,giảm cân,3
restlessness,bồn chồn,5
lethargy,sự uể oải,2
patches_in_throat,Mảng có mủ,6
patches_in_throat,Mảng trắng,6
patches_in_throat,Đốm đỏ,6
patches_in_throat,Vệt vàng,6
irregular_sugar_level,mức đường không đều,5
cough,ho,4
high_fever,sốt cao,7
sunken_eyes,mắt trũng,3
breathlessness,khó thở,4
sweating,đổ mồ hôi,3
dehydration,mất nước,4
indigestion,khó tiêu,5
headache,đau đầu,3
yellowish_skin,da vàng,3
dark_urine,nước tiểu đen,4
nausea,buồn nôn,5
loss_of_appetite,mất cảm giác thèm ăn,4
pain_behind_the_eyes,đau_sau_mắt,4
back_pain,đau lưng,3
constipation,táo bón,4
abdominal_pain,đau bụng,4
diarrhoea,tiêu chảy,6
mild_fever,sốt nhẹ,5
yellow_urine,nước tiểu vàng,4
yellowing_of_eyes,vàng mắt,4
acute_liver_failure,suy gan cấp tính,6
fluid_overload,quá tải chất lỏng,6
swelling_of_stomach,sưng_bụng,7
swelled_lymph_nodes,hạch bạch huyết sưng,6
malaise,sự khó chịu,6
blurred_and_distorted_vision,tầm nhìn mờ và méo mó,5
phlegm,đờm,5
throat_irritation,kích ứng cổ họng,4
redness_of_eyes,đỏ mắt,5
sinus_pressure,áp lực xoang,4
runny_nose,sổ mũi,5
congestion,sự tắc nghẽn,5
chest_pain,đau ngực,7
weakness_in_limbs,yếu_chi_chân,7
fast_heart_rate,nhịp tim nhanh,5
pain_during_bowel_movements,đau khi đi đại tiện,5
pain_in_anal_region,đau_ở_vùng_hậu_đen,6
bloody_stool,phân có máu,5
irritation_in_anus,kích ứng hậu môn,6
neck_pain,đau cổ,5
dizziness,chóng mặt,4
cramps,chuột rút,4
bruising,vết bầm tím,4
obesity,béo phì,4
swollen_legs,chân sưng,5
swollen_blood_vessels,mạch máu sưng,5
puffy_face_and_eyes,mặt và mắt sưng húp,5
enlarged_thyroid,tuyến giáp phì đại,6
brittle_nails,móng tay giòn,5
swollen_extremeties,các chi bị sưng,5
excessive_hunger,đói quá mức,4
extra_marital_contacts,quan hệ ngoài hôn nhân,5
drying_and_tingling_lips,môi khô và tê,4
slurred_speech,nói lắp,4
knee_pain,đau đầu gối,3
hip_joint_pain,đau khớp hông,2
muscle_weakness,yếu cơ,2
stiff_neck,cổ cứng,4
swelling_joints,sưng khớp,5
movement_stiffness,độ cứng chuyển động,5
spinning_movements,chuyển động quay,6
loss_of_balance,mất cân bằng,4
unsteadiness,không ổn định,4
weakness_of_one_body_side,điểm yếu của một bên cơ thể,4
loss_of_smell,mất khứu giác,3
bladder_discomfort,khó chịu bàng quang,4
foul_smell_ofurine,mùi hôi của nước tiểu,5
continuous_feel_of_urine,cảm giác tiểu tiện liên tục,6
passage_of_gases,sự truyền dẫn khí,5
internal_itching,ngứa bên trong,4
toxic_look_(typhos),vẻ ngoài độc hại (typhos),5
depression,trầm cảm,3
irritability,dễ cáu gắt,2
muscle_pain,đau cơ,2
altered_sensorium,cảm biến thay đổi,2
red_spots_over_body,đốm đỏ trên cơ thể,3
belly_pain,đau bụng,4
abnormal_menstruation,kinh nguyệt bất thường,6
dischromic_patches,các mảng màu khác biệt,6
watering_from_eyes,chảy nước mắt,4
increased_appetite,tăng_sự_thèm_ăn,5
polyuria,đa niệu,4
family_history,lịch sử gia đình,5
mucoid_sputum,đờm nhầy,4
rusty_sputum,đờm rỉ sét,4
lack_of_concentration,thiếu tập trung,3
visual_disturbances,rối loạn thị giác,3
receiving_blood_transfusion,nhận truyền máu,5
receiving_unsterile_injections,nhận tiêm không vô trùng,2
coma,hôn mê,7
stomach_bleeding,chảy máu dạ dày,6
distention_of_abdomen,sự căng_lách_bụng,4
history_of_alcohol_consumption,lịch sử tiêu thụ rượu,5
fluid_overload,quá tải chất lỏng,4
blood_in_sputum,máu trong đờm,5
prominent_veins_on_calf,tĩnh mạch nổi trên bắp chân,6
palpitations,tim đập nhanh,4
painful_walking,đi bộ đau đớn,2
pus_filled_pimples,mụn mủ,2
blackheads,mụn đầu đen,2
scurring,chạy trốn,2
skin_peeling,lột da,3
silver_like_dusting,bụi bạc như bạc,2
small_dents_in_nails,vết lõm nhỏ trên móng tay,2
inflammatory_nails,móng tay viêm nhiễm,2
blister,mụn rộp,4
red_sore_around_nose,vết loét đỏ quanh mũi,2
yellow_crust_ooze,chất nhầy vỏ vàng,3
prognosis,tiên lượng,5
