chunk_text,mapped_symptoms,doctor_answer
"Đau đầu, căng thẳng do công việc, suy giảm trí nhớ khoảng gần một năm phải làm sao?",headache,"Tình trạng đau đầu theo bạn mô tả thì chưa rõ. Vì thế, bác sĩ khuyến khích bạn đến cơ sở y tế hoặc bệnh viện thuộc Hệ thống Y tế Vinmec để khám chuyên khoa Thần kinh. Nếu đau đầu thông thường thì cần nghỉ ngơi thư giãn sẽ đỡ, còn nếu có những yếu tố khác thì cần phải khám kỹ, xét nghiệm cận lâm sàng để chẩn đoán chính xác hơn và có hướng điều trị phù hợp."
"Vừa qua ngày 4/6 tôi có bị con chó ở nhà cắn xước ngoài da và tôi đã đến trung tâm y tế để tiêm ngừa dại. Lịch tiêm ngừa là 5 mũi vaccine ABHAYRAB 0,5 ml các ngày 5/6, 8/6, 12/6 và đến ngày 19/6 thì tôi đã tiêm mũi thứ tư. Mũi thứ 5 (cuối cùng) sẽ tiêm vào ngày 3/7. Nhưng nay cơ quan báo là tôi có tên trong danh sách tiêm ngừa Covid-19. Vậy xin hỏi tôi có thể bỏ tiêm mũi cuối cùng này hay không và khoảng cách giữa hai mũi tiêm ngừa dại với mũi Covid-19 là bao nhiêu ngày là bao lâu? Tôi có chút rối.",shivering,"Bệnh dại là bệnh nguy hiểm và nếu có chỉ định tiêm phòng vaccine thì cần được ưu tiên tiêm trước. Khoảng cách giữa mũi vaccine Covid-19 với các vaccine khác là 14 ngày. Nếu khoảng cách với mũi cuối cùng đã hơn 14 ngày, anh/chị có thể tiêm chủng bình thường. Còn trong trường hợp chưa đủ 14 ngày, anh/chị sẽ được hoãn tiêm đến khi đủ khoảng cách."
"Mệt mỏi, ngạt mũi có phải triệu chứng bệnh viêm đường hô hấp không?","fatigue, malaise","Các triệu chứng bạn liệt kê ở trên hoàn toàn có thể là những dấu hiệu ban đầu của bệnh lý viêm đường hô hấp trên. Đây là một bệnh lý phổ biến trên thế giới. Đường hô hấp trên bao gồm các bộ phận đường mũi, xoang, thanh quản, hầu họng. Các bộ phận này làm nhiệm vụ dẫn không khí từ ngoài vào phế quản và đến phổi để hô hấp. Viêm đường hô hấp trên là hiện tượng nhiễm trùng một hoặc nhiều bộ phận nêu trên. Một số triệu chứng thường gặp của bệnh viêm hô hấp trên gồm: HoNghẹt mũiHắt hơiChảy nước mũiĐau rát họng, đau khi nuốtĐau đầu, mỏi cơ, sốt caoKhó thở, cay chảy nước mắt, buồn nôn, đau vùng xoang. . ít gặp hơn"
"Em có tiền sử dị ứng tôm cua đồng. Trước đây, em từng cấp cứu do ăn hai con tôm đồng bị dị ứng cả bên trong và bên ngoài dẫn đến người bị khó thở, bị giật liên tục và bị lạnh hết người. Em cũng không biết đó có phải là sốc phản vệ không nhưng bác sĩ cấp cứu mãi mới qua được. Đó là cách đây 10 năm.Sau khi sinh, em ăn canh cua đồng bình thường, còn từ đó đến giờ không bao giờ ăn tôm đồng nữa nên không biết còn dị ứng với tôm không. Em cũng không thấy bị dị ứng với gì nữa, nhưng với tôm đồng do chưa ăn lại nên không biết còn bị dị ứng với tôm không. Vậy bác sĩ cho em hỏi,tuần tới em tiêm vaccine Covid-19 có ảnh hưởng gì không ạ?",breathlessness,"Trường hợp của bạn đã dị ứng từ lâu tuy nhiên theo như mức độ dị ứng của bạn mô tả là dị ứng nặng (phản vệ độ 2 trở lên). Vì vậy, bạn thuộc đối tượng chống chỉ định tiêm vaccine Covid-19 theo hướng dẫn của Bộ Y tế. Mặc dù bạn không được tiêm chủng vaccine Covid-19 nhưng bạn có thể chủ động phòng dịch bằng cách chủ động thực hiện nghiêm túc thông điệp 5K của Chính phủ."
"Ợ chua kèm tức ngực, khó thở nên thăm khám hay sử dụng thuốc?","acidity, breathlessness","Bạn nên đến khám bác sĩ chuyên khoa tiêu hóa để được nội soi dạ dày kiểm tra. Có thể bạn đã mắc bệnh trào ngược dạ dày thực quản. Nội soi dạ dày cũng kiểm tra được thực quản của bạn xem có gì tắc nghẽn hay không mà lại có cảm giác tức ngực, khó thở, ợ chua. Riêng vấn đề nội soi dạ dày gây đau thì giờ đây chúng ta đã có hình thức nội soi kết hợp với gây mê. Bệnh nhân nội soi sẽ được cho ngủ nhẹ, sau đó bác sĩ sẽ tiến hành nội soi cho bệnh nhân. Toàn bộ quá trình nội soi sẽ không gây khó chịu hay đau đớn cho bệnh nhân vì lúc đó bệnh nhân đang ngủ và không biết gì cả."
"Men gan tăng kèm ngứa, nổi mẩn khi uống thuốc điều trị lao có nên uống nữa không?","swollen_blood_vessels, itching","Nếu người bệnh lao có tổn thương gan nặng từ trước phải được điều trị nội trú tại bệnh viện và theo dõi chức năng gan trước và trong quá trình điều trị. Phác đồ điều trị sẽ do bác sĩ chuyên khoa quyết định tùy khả năng dung nạp thuốc của người bệnh. Sau khi người bệnh dung nạp thuốc tốt, men gan không tăng và có đáp ứng tốt về lâm sàng thì có thể chuyển điều trị ngoại trú và theo dõi chặt chẽ.Đối với người bệnh lao có bệnh gan mạn tính, nếu chức năng gan bình thường có thể tiếp tục điều trị và không cần thiết xét nghiệm trừ khi bệnh nhân có triệu chứng của nhiễm độc gan; nếu men gan cao ít hơn 2 lần giới hạn trên của mức bình thường và không kèm theo triệu chứng nhiễm độc gan thì bệnh nhân có thể được bắt đầu điều trị nhưng phải theo dõi đánh giá triệu chứng của nhiễm độc gan và các chỉ số men gan hàng tháng; nếu men gan cao trên 2 lần giới hạn trên của mức bình thường thì ngừng điều trị lao và phải tiếp tục quản lý tại bệnh viện; bệnh nhân có bệnh gan mạn tính không nên dùng Pyrazinamid, Isoniazid và Rifampicin, do đó có thể kết hợp một hoặc hai loại thuốc không độc với gan như Streptomycin và Ethambutol hay kết hợp với một thuốc thuộc nhóm Fluoroquinolones.Đối với người bệnh lao có viêm gan cấp tính, vừa mắc bệnh lao và đồng thời vừa mắc bệnh viêm gan cấp tính như viêm gan siêu vi cấp tính không liên quan đến lao hoặc điều trị lao. Việc đánh giá lâm sàng rất cần thiết trong việc đưa ra quyết định điều trị. Trong một số trường hợp có thể trì hoãn việc điều trị bệnh lao cho đến khi bệnh viêm gan cấp tính đã được điều trị ổn định. Trong trường hợp cần thiết phải điều trị bệnh lao trong viêm gan cấp tính, viêm gan không ổn định hoặc tiến triển như có men gan cao gấp 3 lần mức ban đầu thì có thể cân nhắc một trong các lựa chọn tùy thuộc vào mức độ tiến triển. Mức độ tiến triển càng nặng thì phác đồ lựa chọn cần sử dụng càng ít thuốc độc đối với gan. Các lựa chọn có thể thực hiện: Giảm còn 2 thuốc thay vì 3 thuốc độc đối với gan như phác đồ 9 HRE điều trị kéo dài 9 tháng thuốc Isoniazid (H), Rifampicin (R), Ethambutol uống hàng ngày; phác đồ 2HRSE/6RH điều trị tấn công kéo dài 2 tháng thuốc Isoniazid (H), Rifampicin (R), Streptomycin (S), Ethambutol (E) dùng hàng ngày và điều trị duy trì kéo dài 2 tháng thuốc Rifampicin (R), Isoniazid (H) uống hàng ngày; phác đồ 6-9RZE điều trị kéo dài 6 đến 9 tháng thuốc Rifampicin (R), Pyrazinamid (Z), Ethambutol (E) uống hàng ngày. Chỉ sử dụng 1 thuốc độc đối với gan như phác đồ 2HES/10HE điều trị tấn công kéo dài 2 tháng thuốc Isoniazid (H), Ethambutol (E), Streptomycin (S) dùng hàng ngày và điều trị duy trì kéo dài 10 tháng thuốc Isoniazid (H), Ethambutol (E) uống hàng ngày. Không sử dụng thuốc độc đối với gan như phác đồ 18-24SEFQs điều trị kéo dài 18 đến 24 tháng thuốc Streptomycin (S), Ethambutol (E), Fluoroquinolones (FQs) dùng hàng ngày.Phải ngừng ngay việc sử dụng những thuốc lao gây độc cho gan, nên xem xét sử dụng thuốc Fluoroquinolones nếu việc điều trị lao cần thiết; điều trị hỗ trợ chức năng gan cho đến khi men gan trở về lại chỉ số bình thường, hết vàng da; cần theo dõi lâm sàng và chỉ số men gan. Nếu không có đáp ứng hoặc có biểu hiện viêm gan do thuốc nặng thêm, phải chuyển bệnh nhân đến cơ sở chuyên khoa để điều trị."
Nổi mụn đỏ ở mông là dấu hiệu bệnh gì?,swollen_blood_vessels,"Trường hợp bạn nổi mụn đỏ ở mông và đau, có thể bạn bị nhọt. Nhọt là tình trạng viêm cấp tính gây hoại tử nang lông và tổ chức xung quanh. Căn nguyên gây bệnh thường do tụ cầu vàng. Các thuốc bạn đang sử dụng chứa thành phần Benzoyl peroxide và Axit salicylic được chỉ định để điều trị mụn trứng cá. Với trường hợp bị nhọt giai đoạn sớm chưa có mủ, bạn tránh nặn mụn, sát khuẩn bằng các dung dịch như Povidone –iodine 10%, hoặc Chlorhexidine 4%. Bôi kem kháng sinh tại chỗ như Axit fusidic 2% bôi 1-2 lần/ngày hoặc mỡ Mupirocin 2% bôi 3 lần/ngày, uống kháng sinh. Giai đoạn có mủ cần phẫu thuật rạch rộng làm sạch tổn thương. Trường hợp bạn vệ sinh tại chỗ bằng dung dịch sát khuẩn nhưng mụn tiếp tục to lên và đau, bạn cần đi khám bác sĩ chuyên khoa Da liễu để được tư vấn cụ thể."
Đột nhiên hoa mắt chóng mặt cảnh báo bệnh gì?,dizziness,"Triệu chứng hoa mắt chóng mặt nếu chỉ xuất hiện thoáng qua rồi hết, thỉnh thoảng lặp lại nhưng thời gian xảy ra ngắn thì thường lành tính. Bạn chỉ cần tăng cường nghỉ ngơi và có chế độ dinh dưỡng đầy đủ.Tuy nhiên, khi các triệu chứng trên xuất hiện thường xuyên, kéo dài trên 30 phút thì bạn cần cảnh giác, vì nó là biểu hiện của nhiều bệnh lý nguy hiểm như thiếu máu mạn tính, xơ vữa mạch máu nặng, bệnh tim mạch, thần kinh,...Vì vậy, tốt nhất nếu thấy xuất hiện dấu hiệu bất ổn kéo dài, bạn nên đi khám tại các bệnh viện lớn để được chẩn đoán xác định bệnh, tư vấn chuyên sâu về phương pháp chữa trị phù hợp để đẩy lùi bệnh tật, tránh bỏ lỡ cơ hội điều trị tốt nhất."
"Điều trị táo bón, chướng bụng kéo dài","constipation, distention_of_abdomen","Táo bón được định nghĩa là có ít hơn 3 lần đi đại tiện trong một tuần. Mặc dù táo bón không thường xuyên diễn ra phổ biến, tuy nhiên, ở một số người, táo bón gây cản trở sinh hoạt hoặc hạn chế làm các công việc hằng ngày. Táo bón mãn tính cũng là nguyên nhân khiến người bệnh phải rặn rất nhiều khi đi đại tiện và là triệu chứng của nhiều bệnh lý khác nhau. Điều trị táo bón mạn tính phụ thuộc một phần vào nguyên nhân gây ra. Tuy nhiên, trong một số trường hợp, không tìm thấy nguyên nhân. Để phân mềm, tạo phản xạ đại tiện rõ ràng, bạn hãy tạo thói quen đại tiện đúng giờ, tập thể dục thường xuyên, uống đủ nước và ăn nhiều chất xơ (20-35g/ngày). Có một số loại trái cây giúp dễ đại tiện mà bạn nên biết như: đu đủ, thanh long, xoài, mận, cam, chanh, quýt, . . . Lưu ý là nếu đột ngột ăn một lượng chất xơ quá nhiều, bạn có thể bị đầy bụng, trung tiện nhiều. Để tránh tác dụng phụ này, bạn nên tăng dần lượng chất xơ ăn vào. Có thể uống thêm thuốc nhuận tràng Sorbitol (một loại đường tự nhiên, không hấp thu vào máu và có tính rút nước vào lòng ruột giúp phân mềm). Sorbitol có nhiều trong các trái cây: Táo, nho, lê, đậu, mận và dâu tây. Nếu sau tất cả những cố gắng trên mà chứng táo bón vẫn không giảm, thì bạn có thể dùng thêm thuốc nhuận tràng. Các biện pháp kể trên không được bạn cần đến khám Bác sĩ chuyên khoa Nội tiêu hóa."
Nam giới đau đầu nguyên nhân là gì?,headache,"Đau đầu do nhiều nguyên nhân như đau đầu do các bệnh thần kinh, đau đầu do bệnh cơ thể, bệnh nội khoa,... Bạn cần đi khám bác sĩ để kiểm tra tình trạng đau đầu, đồng thời kiểm tra tổng quát tình trạng bệnh của bạn để có biện pháp điều trị phù hợp."
